gene_name	HQ10E1	HQ10E2	HQE1	HQE2	HQ_ST1	HQ_ST2	PWE1	PWE2	PW_ST1	PW_ST2
Phatr3_J9320	4981	5326	4452	3439	1497	2075	3997	3931	1419	2102
Phatr3_EG01863	581	541	708	408	584	697	401	364	431	560
Phatr3_J31918	696	802	745	499	455	663	511	426	342	589
Phatr3_J31919	19514	22507	16174	11237	1505	2197	19461	18733	1428	3587
Phatr3_J42830	845	947	1211	818	904	1335	773	732	522	990
Phatr3_J42831	1820	2028	460	257	710	670	3453	2000	547	795
Phatr3_J42832	3031	3383	3487	2703	4088	6153	2615	2681	3231	4565
Phatr3_J9478	857	891	1134	738	772	936	735	738	952	903
Phatr3_J42834	621	722	926	619	554	539	346	574	378	511
Phatr3_J31925	52	62	289	180	69	70	53	24	111	214
Phatr3_J42835	666	819	727	630	583	603	714	585	355	286
Phatr3_J31927	630	632	605	458	463	775	492	446	360	530
Phatr3_J42836	2044	1970	2382	1894	2678	3726	1665	1943	3167	3651
Phatr3_J41686	3255	3444	2822	2266	1914	2736	3068	2721	1570	1904
Phatr3_J42838	206	303	309	256	277	363	221	220	102	193
Phatr3_J8659	1531	1637	1506	1071	655	898	1275	1335	728	975
Phatr3_J9035	2616	2972	4093	2373	2051	2890	2029	1785	2594	2880
Phatr3_EG02457	756	794	976	611	753	714	495	582	600	587
Phatr3_EG02458	24	38	31	26	28	43	18	21	15	27
Phatr3_J42841	984	1168	1305	895	513	299	982	1044	493	366
Phatr3_EG01765	237	316	421	282	449	575	184	207	262	347
Phatr3_J42843	1347	1569	1770	1062	1256	1700	1067	1074	892	1185
Phatr3_J42844	1329	1443	748	543	873	838	1406	1100	524	720
Phatr3_J42845	100	124	232	147	0	8	100	82	4	9
Phatr3_J31939	484	582	455	312	158	211	500	405	204	218
Phatr3_EG01871	185	114	132	147	126	138	153	200	382	332
Phatr3_J42846	0	0	0	0	0	0	0	0	0	0
Phatr3_J8840	473	455	501	397	544	647	336	309	271	358
Phatr3_J31942	141	117	159	108	208	198	141	138	95	218
Phatr3_J42848	2636	2713	2212	1625	2334	3141	2492	2294	2217	2912
PTsRNA00004a	0	1	2	0	2	1	2	0	0	0
PTsRNA00004b	4	3	2	1	0	3	1	7	3	1
Phatr3_J9509	2006	2360	2061	1433	1694	1923	1621	1587	1082	1674
Phatr3_J42850	4326	5065	6736	3966	2808	1957	5324	3673	5473	5114
Phatr3_J6288	1224	1219	1441	975	447	544	796	887	307	536
Phatr3_J42851	883	969	1095	761	978	1334	716	604	630	746
Phatr3_J31948	542	598	688	482	626	848	392	436	462	676
Phatr3_J9491	806	831	793	507	278	294	628	561	129	349
Phatr3_J9649	347	396	420	291	371	446	304	321	352	435
Phatr3_J9312	3393	4066	2623	1834	1260	1121	2646	1731	1408	2068
